EncuestaID,RangoEdad,Genero,Departamento,SeleccionApoya,Jugador
1,55 Años O Más,Femenino,Guatemala,Portugal,Kylian Mbappé
1,55 Años O Más,Femenino,Guatemala,Portugal,Cristiano Ronaldo
1,55 Años O Más,Femenino,Guatemala,Portugal,Neymar Jr.
2,18 - 24 Años,Masculino,Guatemala,Portugal,Cristiano Ronaldo
2,18 - 24 Años,Masculino,Guatemala,Portugal,Kylian Mbappé
2,18 - 24 Años,Masculino,Guatemala,Portugal,Christian Pulisic
3,35 - 44 Años,Masculino,Alta Verapaz,España,Cristiano Ronaldo
3,35 - 44 Años,Masculino,Alta Verapaz,España,Federico Valverde
4,25 - 34 Años,Femenino,Guatemala,Inglaterra,Vinícius Júnior
5,25 - 34 Años,Femenino,Guatemala,España,Kylian Mbappé
6,18 - 24 Años,Masculino,Quetzaltenango,Estados Unidos,Kylian Mbappé
7,35 - 44 Años,Masculino,Sacatepéquez,Francia,Lionel Messi
8,25 - 34 Años,Prefiero No Indicarlo,Guatemala,Nueva Zelanda,Cristiano Ronaldo
8,25 - 34 Años,Prefiero No Indicarlo,Guatemala,Nueva Zelanda,Lionel Messi
8,25 - 34 Años,Prefiero No Indicarlo,Guatemala,Nueva Zelanda,Julián Álvarez
9,25 - 34 Años,Femenino,Chimaltenango,Brasil,Lionel Messi
9,25 - 34 Años,Femenino,Chimaltenango,Brasil,Neymar Jr.
10,Menos De 18 Años,Femenino,Guatemala,Portugal,Cristiano Ronaldo
10,Menos De 18 Años,Femenino,Guatemala,Portugal,Rodri
11,18 - 24 Años,Masculino,Suchitepéquez,Estados Unidos,Neymar Jr.
11,18 - 24 Años,Masculino,Suchitepéquez,Estados Unidos,Cristiano Ronaldo
12,Menos De 18 Años,Masculino,Quetzaltenango,Argentina,Vinícius Júnior
13,25 - 34 Años,Masculino,Chiquimula,Argentina,Cristiano Ronaldo
14,25 - 34 Años,Femenino,Quiché,Argentina,Cristiano Ronaldo
14,25 - 34 Años,Femenino,Quiché,Argentina,Neymar Jr.
15,18 - 24 Años,Femenino,Retalhuleu,Inglaterra,Lionel Messi
15,18 - 24 Años,Femenino,Retalhuleu,Inglaterra,Neymar Jr.
15,18 - 24 Años,Femenino,Retalhuleu,Inglaterra,Kylian Mbappé
16,Menos De 18 Años,Femenino,Sacatepéquez,Brasil,Jude Bellingham
16,Menos De 18 Años,Femenino,Sacatepéquez,Brasil,Cristiano Ronaldo
17,18 - 24 Años,Femenino,Guatemala,México,Rodri
17,18 - 24 Años,Femenino,Guatemala,México,Alphonso Davies
17,18 - 24 Años,Femenino,Guatemala,México,Vinícius Júnior
18,35 - 44 Años,Masculino,Guatemala,Brasil,Neymar Jr.
18,35 - 44 Años,Masculino,Guatemala,Brasil,Vinícius Júnior
18,35 - 44 Años,Masculino,Guatemala,Brasil,Lionel Messi
19,18 - 24 Años,Femenino,Santa Rosa,Australia,Julián Álvarez
19,18 - 24 Años,Femenino,Santa Rosa,Australia,Harry Kane
20,18 - 24 Años,Femenino,Guatemala,Estados Unidos,Jude Bellingham
21,25 - 34 Años,Masculino,Jutiapa,Brasil,Lionel Messi
21,25 - 34 Años,Masculino,Jutiapa,Brasil,Rodri
21,25 - 34 Años,Masculino,Jutiapa,Brasil,Harry Kane
