EncuestaID,FechaEncuesta,HoraEncuesta,RangoEdad,Genero,Departamento,Municipio,Ocupacion,FrecuenciaConsumoSnacks,LugarCompraSnacks,ConQuienVePartidos,GastoSnacksPartido,SnacksSeleccionados,SaborPreferido,PresentacionPreferida,PrecioAdecuado,PagaMasEdicionMundial,PlaneaVerMundial2026,SeleccionApoya,CompraDisenoSeleccion,SeleccionInfluyeCompra,JugadoresInfluyentes,TipoPublicidadAtractiva,PromocionPreferida,CompraTarjetasColeccionables,CampaniaMasProbableCompra,Disposicion_Gasto_Premium,Segmento_Lealtad_Mundial,Segmento_Edad_Analitico
1,2026-04-15,09:46:21,55 Años O Más,Femenino,Guatemala,Santa Catarina Pinula,Jubilado,Varias Veces Al Mes,Aplicación de delivery,Amigos,Q25 - Q50,FutbolMix; Hot Stadium Peanuts; Caramel Goal Popcorn,Dulce,Familiar,Q10 - Q15,Sí,Sí,Portugal,Probablemente sí,Portugal,Kylian Mbappé; Cristiano Ronaldo; Neymar Jr.,Una selección nacional,Sorteo de viajes,Sí,Edición Francia,Moderada,Fanático Target (Alto),Adulto Mayor (55+)
2,2026-01-26,08:45:33,18 - 24 Años,Masculino,Guatemala,Santa Catarina Pinula,Empresario,1 A 2 Veces Por Semana,Supermercado,Solo,Q51 - Q100,ChocoKick Bites; CrunchMax BBQ,Caramelo,Familiar,Q21 - Q30,Sí,Sí,Portugal,Probablemente no,Suecia,Cristiano Ronaldo; Kylian Mbappé; Christian Pulisic,Una selección nacional,Producto gratis,Sí,Edición Brasil,Premium Alta,Casual,Jóvenes (<25)
3,2026-04-22,22:23:58,35 - 44 Años,Masculino,Alta Verapaz,Alta Verapaz,Estudiante,Varias Veces Al Mes,Kiosco escolar/universitario,Familia,Q51 - Q100,ChocoKick Bites; Fan Chips Jalapeño; Victory Pretzels,Picante Chapín,Familiar,Q16 - Q20,Sí,Sí,España,Probablemente sí,Portugal,Cristiano Ronaldo; Federico Valverde,Un jugador famoso,Descuento directo,No,Edición Con Tarjetas Coleccionables,Premium Alta,Casual,Adulto Maduro (35-54)
4,2026-01-28,21:58:00,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado,3 A 5 Veces Por Semana,Gasolinera,Solo,Q25 - Q50,Fan Chips Jalapeño; CrunchMax BBQ,Limón,Familiar,Q16 - Q20,Sí,No,Inglaterra,Probablemente no,España,Vinícius Júnior,Premios y sorteos,2x1,Sí,Edición Con Jugadores Famosos,Moderada,Espectador Pasivo,Adulto Joven (25-34)
5,2026-03-04,12:59:08,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Estudiante,Varias Veces Al Mes,Tienda de barrio,Amigos,Q51 - Q100,Caramel Goal Popcorn; FutbolMix,Queso,Para Compartir Entre 2 Personas,Q16 - Q20,No,No,España,Tal vez,Qatar,Kylian Mbappé,Un jugador famoso,Tarjetas coleccionables,No,Edición Brasil,Moderada,Espectador Pasivo,Adulto Joven (25-34)
6,2026-02-05,20:39:21,18 - 24 Años,Masculino,Quetzaltenango,Olintepeque,Comerciante,1 A 2 Veces Por Semana,Tienda de barrio,Solo,Menos De Q25,CrunchMax BBQ,Jalapeño,Para Compartir Entre 2 Personas,Q21 - Q30,Sí,Sí,Estados Unidos,Probablemente sí,Estados Unidos,Kylian Mbappé,Una selección nacional,Tarjetas coleccionables,Sí,Edición Mundial Fifa 2026,Moderada,Fanático Target (Alto),Jóvenes (<25)
7,2026-01-20,19:19:11,35 - 44 Años,Masculino,Sacatepéquez, CIUDAD VIEJA ,Empleado Privado,3 A 5 Veces Por Semana,Aplicación de delivery,Solo,Q51 - Q100,ChocoKick Bites,Dulce,Individual,Q16 - Q20,No,Sí,Francia,Tal vez,Francia,Lionel Messi,Premios y sorteos,2x1,Sí,Edición España,Moderada,Casual,Adulto Maduro (35-54)
8,2026-03-30,15:35:48,25 - 34 Años,Prefiero No Indicarlo,Guatemala,Villa Nueva,Empresario,3 A 5 Veces Por Semana,Tienda de barrio,Amigos,Q25 - Q50,Hot Stadium Peanuts; Caramel Goal Popcorn; Fan Chips Jalapeño,Chocolate,Para Compartir Entre 2 Personas,Más De Q30,No,Sí,Nueva Zelanda,Tal vez,Portugal,Cristiano Ronaldo; Lionel Messi; Julián Álvarez,Una selección nacional,Tarjetas coleccionables,No,Edición Brasil,Moderada,Espectador Pasivo,Adulto Joven (25-34)
9,2026-01-11,08:06:15,25 - 34 Años,Femenino,Chimaltenango,Chimaltenango,Profesional Independiente,Todos Los Días,Kiosco escolar/universitario,Familia,Q25 - Q50,Caramel Goal Popcorn,Dulce,Familiar,Q10 - Q15,No,Sí,Brasil,Tal vez,Brasil,Lionel Messi; Neymar Jr.,Un jugador famoso,Sorteo de balones,No,Edición Brasil,Moderada,Espectador Pasivo,Adulto Joven (25-34)
10,2026-02-21,16:46:49,Menos De 18 Años,Femenino,Guatemala,Guatemala,Otro,Varias Veces Al Mes,Tienda de barrio,Familia,Q51 - Q100,Energy Crunch Protein; Fan Chips Jalapeño; Gol Nachos Supreme,Barbacoa,Para Compartir Entre 2 Personas,Más De Q30,No,Sí,Portugal,Tal vez,Colombia,Cristiano Ronaldo; Rodri,Un jugador famoso,Tarjetas coleccionables,No,Edición Brasil,Moderada,Espectador Pasivo,Jóvenes (<25)
