EncuestaID,RangoEdad,Genero,Departamento,FrecuenciaConsumoSnacks,SaborPreferido,Snack
1,55 Años O Más,Femenino,Guatemala,Varias Veces Al Mes,Dulce,Futbolmix
1,55 Años O Más,Femenino,Guatemala,Varias Veces Al Mes,Dulce,Hot Stadium Peanuts
1,55 Años O Más,Femenino,Guatemala,Varias Veces Al Mes,Dulce,Caramel Goal Popcorn
2,18 - 24 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Caramelo,Chocokick Bites
2,18 - 24 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Caramelo,Crunchmax Bbq
3,35 - 44 Años,Masculino,Alta Verapaz,Varias Veces Al Mes,Picante Chapín,Chocokick Bites
3,35 - 44 Años,Masculino,Alta Verapaz,Varias Veces Al Mes,Picante Chapín,Fan Chips Jalapeño
3,35 - 44 Años,Masculino,Alta Verapaz,Varias Veces Al Mes,Picante Chapín,Victory Pretzels
4,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Limón,Fan Chips Jalapeño
4,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Limón,Crunchmax Bbq
5,25 - 34 Años,Femenino,Guatemala,Varias Veces Al Mes,Queso,Caramel Goal Popcorn
5,25 - 34 Años,Femenino,Guatemala,Varias Veces Al Mes,Queso,Futbolmix
6,18 - 24 Años,Masculino,Quetzaltenango,1 A 2 Veces Por Semana,Jalapeño,Crunchmax Bbq
7,35 - 44 Años,Masculino,Sacatepéquez,3 A 5 Veces Por Semana,Dulce,Chocokick Bites
8,25 - 34 Años,Prefiero No Indicarlo,Guatemala,3 A 5 Veces Por Semana,Chocolate,Hot Stadium Peanuts
8,25 - 34 Años,Prefiero No Indicarlo,Guatemala,3 A 5 Veces Por Semana,Chocolate,Caramel Goal Popcorn
8,25 - 34 Años,Prefiero No Indicarlo,Guatemala,3 A 5 Veces Por Semana,Chocolate,Fan Chips Jalapeño
9,25 - 34 Años,Femenino,Chimaltenango,Todos Los Días,Dulce,Caramel Goal Popcorn
10,Menos De 18 Años,Femenino,Guatemala,Varias Veces Al Mes,Barbacoa,Energy Crunch Protein
10,Menos De 18 Años,Femenino,Guatemala,Varias Veces Al Mes,Barbacoa,Fan Chips Jalapeño
10,Menos De 18 Años,Femenino,Guatemala,Varias Veces Al Mes,Barbacoa,Gol Nachos Supreme
11,18 - 24 Años,Masculino,Suchitepéquez,Todos Los Días,Queso,Gol Nachos Supreme
12,Menos De 18 Años,Masculino,Quetzaltenango,3 A 5 Veces Por Semana,Limón,Futbolmix
13,25 - 34 Años,Masculino,Chiquimula,3 A 5 Veces Por Semana,Queso,Futbolmix
13,25 - 34 Años,Masculino,Chiquimula,3 A 5 Veces Por Semana,Queso,Gol Nachos Supreme
13,25 - 34 Años,Masculino,Chiquimula,3 A 5 Veces Por Semana,Queso,Caramel Goal Popcorn
14,25 - 34 Años,Femenino,Quiché,3 A 5 Veces Por Semana,Queso,Victory Pretzels
15,18 - 24 Años,Femenino,Retalhuleu,1 A 2 Veces Por Semana,Jalapeño,Energy Crunch Protein
15,18 - 24 Años,Femenino,Retalhuleu,1 A 2 Veces Por Semana,Jalapeño,Crunchmax Bbq
15,18 - 24 Años,Femenino,Retalhuleu,1 A 2 Veces Por Semana,Jalapeño,Chocokick Bites
16,Menos De 18 Años,Femenino,Sacatepéquez,1 A 2 Veces Por Semana,Barbacoa,Chocokick Bites
16,Menos De 18 Años,Femenino,Sacatepéquez,1 A 2 Veces Por Semana,Barbacoa,Futbolmix
17,18 - 24 Años,Femenino,Guatemala,Todos Los Días,Limón,Hot Stadium Peanuts
17,18 - 24 Años,Femenino,Guatemala,Todos Los Días,Limón,Gol Nachos Supreme
17,18 - 24 Años,Femenino,Guatemala,Todos Los Días,Limón,Futbolmix
18,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Barbacoa,Mundialitos Queso Picante
18,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Barbacoa,Crunchmax Bbq
19,18 - 24 Años,Femenino,Santa Rosa,1 A 2 Veces Por Semana,Picante Chapín,Crunchmax Bbq
19,18 - 24 Años,Femenino,Santa Rosa,1 A 2 Veces Por Semana,Picante Chapín,Energy Crunch Protein
20,18 - 24 Años,Femenino,Guatemala,Varias Veces Al Mes,Queso,Hot Stadium Peanuts
20,18 - 24 Años,Femenino,Guatemala,Varias Veces Al Mes,Queso,Mundialitos Queso Picante
20,18 - 24 Años,Femenino,Guatemala,Varias Veces Al Mes,Queso,Futbolmix
21,25 - 34 Años,Masculino,Jutiapa,1 A 2 Veces Por Semana,Barbacoa,Chocokick Bites
21,25 - 34 Años,Masculino,Jutiapa,1 A 2 Veces Por Semana,Barbacoa,Futbolmix
21,25 - 34 Años,Masculino,Jutiapa,1 A 2 Veces Por Semana,Barbacoa,Fan Chips Jalapeño
22,25 - 34 Años,Masculino,Jalapa,Todos Los Días,Barbacoa,Fan Chips Jalapeño
22,25 - 34 Años,Masculino,Jalapa,Todos Los Días,Barbacoa,Victory Pretzels
23,25 - 34 Años,Masculino,Guatemala,Todos Los Días,Caramelo,Futbolmix
24,18 - 24 Años,Femenino,Guatemala,Todos Los Días,Queso,Mundialitos Queso Picante
24,18 - 24 Años,Femenino,Guatemala,Todos Los Días,Queso,Chocokick Bites
